name	kind	qualified_name	file	anchor
SDK	module	SDK	reference/SDK/_module.SDK.md	
InfrontSDK	namespace	SDK.InfrontSDK	reference/SDK/_module.SDK.InfrontSDK.md	
CoreDataAPI	namespace	SDK.InfrontSDK.CoreDataAPI	reference/SDK/_module.SDK.InfrontSDK.CoreDataAPI.md	
AnalyticscalculationsBetaResponse	interface	SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsBetaResponse	reference/SDK/SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsBetaResponse.md	
AnalyticscalculationsBetaResult	interface	SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsBetaResult	reference/SDK/SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsBetaResult.md	
AnalyticscalculationsListPerformanceResponse	interface	SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsListPerformanceResponse	reference/SDK/SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsListPerformanceResponse.md	
AnalyticscalculationsListVolatilityResponse	interface	SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsListVolatilityResponse	reference/SDK/SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsListVolatilityResponse.md	
AnalyticscalculationsMarketCapitalizationResponse	interface	SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsMarketCapitalizationResponse	reference/SDK/SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsMarketCapitalizationResponse.md	
AnalyticscalculationsMarketCapitalizationResult	interface	SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsMarketCapitalizationResult	reference/SDK/SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsMarketCapitalizationResult.md	
AnalyticscalculationsOTFCalculation	interface	SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsOTFCalculation	reference/SDK/SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsOTFCalculation.md	
date_period_code	property	SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsOTFCalculation.date_period_code	reference/SDK/SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsOTFCalculation.md	date_period_code
frequency_code	property	SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsOTFCalculation.frequency_code	reference/SDK/SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsOTFCalculation.md	frequency_code
reference_type_code	property	SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsOTFCalculation.reference_type_code	reference/SDK/SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsOTFCalculation.md	reference_type_code
used_quotes_count	property	SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsOTFCalculation.used_quotes_count	reference/SDK/SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsOTFCalculation.md	used_quotes_count
value	property	SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsOTFCalculation.value	reference/SDK/SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsOTFCalculation.md	value
AnalyticscalculationsPerformanceResult	interface	SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsPerformanceResult	reference/SDK/SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsPerformanceResult.md	
AnalyticscalculationsRSquaredResponse	interface	SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsRSquaredResponse	reference/SDK/SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsRSquaredResponse.md	
AnalyticscalculationsRSquaredResult	interface	SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsRSquaredResult	reference/SDK/SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsRSquaredResult.md	
AnalyticscalculationsUnleveredBetaResponse	interface	SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsUnleveredBetaResponse	reference/SDK/SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsUnleveredBetaResponse.md	
AnalyticscalculationsUnleveredBetaResult	interface	SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsUnleveredBetaResult	reference/SDK/SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsUnleveredBetaResult.md	
AnalyticscalculationsVolatilityResult	interface	SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsVolatilityResult	reference/SDK/SDK.InfrontSDK.CoreDataAPI.AnalyticscalculationsVolatilityResult.md	
BasedefCount	interface	SDK.InfrontSDK.CoreDataAPI.BasedefCount	reference/SDK/SDK.InfrontSDK.CoreDataAPI.BasedefCount.md	
id	property	SDK.InfrontSDK.CoreDataAPI.BasedefCount.id	reference/SDK/SDK.InfrontSDK.CoreDataAPI.BasedefCount.md	id
value	property	SDK.InfrontSDK.CoreDataAPI.BasedefCount.value	reference/SDK/SDK.InfrontSDK.CoreDataAPI.BasedefCount.md	value
BasedefEntityMeta	interface	SDK.InfrontSDK.CoreDataAPI.BasedefEntityMeta	reference/SDK/SDK.InfrontSDK.CoreDataAPI.BasedefEntityMeta.md	
cache_source	property	SDK.InfrontSDK.CoreDataAPI.BasedefEntityMeta.cache_source	reference/SDK/SDK.InfrontSDK.CoreDataAPI.BasedefEntityMeta.md	cache_source
cached	property	SDK.InfrontSDK.CoreDataAPI.BasedefEntityMeta.cached	reference/SDK/SDK.InfrontSDK.CoreDataAPI.BasedefEntityMeta.md	cached
elapsed_time	property	SDK.InfrontSDK.CoreDataAPI.BasedefEntityMeta.elapsed_time	reference/SDK/SDK.InfrontSDK.CoreDataAPI.BasedefEntityMeta.md	elapsed_time
error_code	property	SDK.InfrontSDK.CoreDataAPI.BasedefEntityMeta.error_code	reference/SDK/SDK.InfrontSDK.CoreDataAPI.BasedefEntityMeta.md	error_code
error_message	property	SDK.InfrontSDK.CoreDataAPI.BasedefEntityMeta.error_message	reference/SDK/SDK.InfrontSDK.CoreDataAPI.BasedefEntityMeta.md	error_message
expire	property	SDK.InfrontSDK.CoreDataAPI.BasedefEntityMeta.expire	reference/SDK/SDK.InfrontSDK.CoreDataAPI.BasedefEntityMeta.md	expire
request_timestamp	property	SDK.InfrontSDK.CoreDataAPI.BasedefEntityMeta.request_timestamp	reference/SDK/SDK.InfrontSDK.CoreDataAPI.BasedefEntityMeta.md	request_timestamp
status	property	SDK.InfrontSDK.CoreDataAPI.BasedefEntityMeta.status	reference/SDK/SDK.InfrontSDK.CoreDataAPI.BasedefEntityMeta.md	status
BasedefError	interface	SDK.InfrontSDK.CoreDataAPI.BasedefError	reference/SDK/SDK.InfrontSDK.CoreDataAPI.BasedefError.md	
BasedefFilterParamDouble	interface	SDK.InfrontSDK.CoreDataAPI.BasedefFilterParamDouble	reference/SDK/SDK.InfrontSDK.CoreDataAPI.BasedefFilterParamDouble.md	
eq	property	SDK.InfrontSDK.CoreDataAPI.BasedefFilterParamDouble.eq	reference/SDK/SDK.InfrontSDK.CoreDataAPI.BasedefFilterParamDouble.md	eq
ge	property	SDK.InfrontSDK.CoreDataAPI.BasedefFilterParamDouble.ge	reference/SDK/SDK.InfrontSDK.CoreDataAPI.BasedefFilterParamDouble.md	ge
gt	property	SDK.InfrontSDK.CoreDataAPI.BasedefFilterParamDouble.gt	reference/SDK/SDK.InfrontSDK.CoreDataAPI.BasedefFilterParamDouble.md	gt
le	property	SDK.InfrontSDK.CoreDataAPI.BasedefFilterParamDouble.le	reference/SDK/SDK.InfrontSDK.CoreDataAPI.BasedefFilterParamDouble.md	le
lt	property	SDK.InfrontSDK.CoreDataAPI.BasedefFilterParamDouble.lt	reference/SDK/SDK.InfrontSDK.CoreDataAPI.BasedefFilterParamDouble.md	lt
ne	property	SDK.InfrontSDK.CoreDataAPI.BasedefFilterParamDouble.ne	reference/SDK/SDK.InfrontSDK.CoreDataAPI.BasedefFilterParamDouble.md	ne
BasedefFilterParamInt32	interface	SDK.InfrontSDK.CoreDataAPI.BasedefFilterParamInt32	reference/SDK/SDK.InfrontSDK.CoreDataAPI.BasedefFilterParamInt32.md	
eq	property	SDK.InfrontSDK.CoreDataAPI.BasedefFilterParamInt32.eq	reference/SDK/SDK.InfrontSDK.CoreDataAPI.BasedefFilterParamInt32.md	eq
ge	property	SDK.InfrontSDK.CoreDataAPI.BasedefFilterParamInt32.ge	reference/SDK/SDK.InfrontSDK.CoreDataAPI.BasedefFilterParamInt32.md	ge
